[2024-12-04T22:58:20.715615+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:02:04.805067+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:02:07.076144+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-04T23:02:10.082445+01:00] guitar-store.INFO: Request: GET, File: category_list.php [] []
[2024-12-04T23:02:12.301329+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:02:14.139400+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:02:15.132156+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:02:16.645442+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-04T23:03:20.311562+01:00] guitar-store.INFO: Request: POST, File: add_product.php [] []
[2024-12-04T23:03:20.338289+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:22.458202+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:24.867566+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:25.993835+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:28.021764+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:29.275492+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:31.005968+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:34.660821+01:00] guitar-store.INFO: Request: POST, File: delete_product.php [] []
[2024-12-04T23:03:34.687725+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:37.466130+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:40.786372+01:00] guitar-store.INFO: Request: GET, File: category_list.php [] []
[2024-12-04T23:03:46.000418+01:00] guitar-store.INFO: Request: POST, File: category_list.php [] []
[2024-12-04T23:03:49.117018+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:50.630231+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:03:52.234755+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-04T23:03:59.954661+01:00] guitar-store.INFO: Request: POST, File: add_product.php [] []
[2024-12-04T23:03:59.969584+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:04:01.258437+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:04:03.093763+01:00] guitar-store.INFO: Request: POST, File: edit_product_form.php [] []
[2024-12-04T23:04:10.868950+01:00] guitar-store.INFO: Request: POST, File: edit_product.php [] []
[2024-12-04T23:04:10.881104+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:04:11.973096+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:16:28.883233+01:00] guitar-store.INFO: Request: POST, File: edit_product_form.php [] []
[2024-12-04T23:16:31.302267+01:00] guitar-store.INFO: Request: POST, File: edit_product.php [] []
[2024-12-04T23:16:31.318157+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:20:16.325454+01:00] guitar-store.INFO: Request: GET, File: category_list.php [] []
[2024-12-04T23:20:22.753685+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-04T23:22:18.235773+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:22:20.464880+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-04T23:35:03.769493+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:05:18.279147+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:05:20.567930+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:05:21.863796+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:05:24.340135+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:05:25.987955+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:05:27.312173+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:05:32.672869+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:05:33.870275+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:08:51.972762+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:08:52.769951+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:08:58.148892+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:09:00.607645+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:09:01.935327+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:17:41.096281+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:17:44.206056+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:17:54.331550+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:17:55.635534+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:19:00.858758+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:19:02.443783+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:19:03.560107+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:19:07.561689+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:19:08.697160+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:19:12.435916+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:19:13.624738+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:23:53.362536+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:23:54.450609+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:23:55.702607+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
[2024-12-05T00:27:46.350200+01:00] guitar-store.INFO: Request: GET, File: index.php [] []
[2024-12-05T00:27:48.391751+01:00] guitar-store.INFO: Request: GET, File: add_product_form.php [] []
